phd_dept,score17,rank17,movement_single,movement_aggregate,x2009-2017,scorediff_single,scorediff_aggregate,score13,rank13,score09,rank09,score13_single,rank13_single,movement,discrepancy
Princeton,4.7,1,0,0,2,0.1,0,4.7,1,4.6,3,4.8,1,2,0
Berkeley,4.7,1,3,0,0,-0.1,0,4.7,1,4.8,1,4.6,4,-3,3
Michigan,4.7,1,3,3,2,-0.1,0.1,4.6,4,4.6,3,4.6,4,-1,0
Harvard,4.7,1,5,5,4,-0.2,0.2,4.5,6,4.5,5,4.5,6,-1,0
Stanford,4.6,5,-3,-1,0,0.1,0,4.6,4,4.5,5,4.7,2,3,-2
Wisconsin,4.5,6,-4,-5,-4,0.2,-0.2,4.7,1,4.7,2,4.7,2,0,1
UNC,4.5,6,0,0,-1,0,0,4.5,6,4.5,5,4.5,6,-1,0
UCLA,4.4,8,-2,1,1,0.1,0,4.4,9,4.3,9,4.5,6,3,-3
Chicago,4.4,8,-2,-2,-3,0.1,-0.1,4.5,6,4.5,5,4.5,6,-1,0
Northwestern,4.3,10,1,0,-1,0,0,4.3,10,4.3,9,4.3,11,-2,1
U Penn,4.2,11,-1,-1,0,0.2,-0.1,4.3,10,4.2,11,4.4,10,1,0
Columbia,4.2,11,1,1,0,0,0,4.2,12,4.2,11,4.2,12,-1,0
Texas,4.2,11,1,3,3,0,0.1,4.1,14,4,14,4.2,12,2,-2
NYU,4.2,11,5,5,3,-0.2,0.2,4,16,4,14,4,16,-2,0
Indiana,4.1,15,-3,-3,-4,0.1,-0.1,4.2,12,4.2,11,4.2,12,-1,0
Duke,4.1,15,-3,-1,-1,0.1,0,4.1,14,4,14,4.2,12,2,-2
Penn State,4,17,-1,0,3,0,0.1,3.9,17,3.8,20,4,16,4,-1
Cornell,4,17,1,0,0,-0.1,0.1,3.9,17,3.9,17,3.9,18,-1,1
Ohio State,4,17,1,0,0,-0.1,0.1,3.9,17,3.9,17,3.9,18,-1,1
Minnesota,4,17,3,3,3,-0.2,0.2,3.8,20,3.8,20,3.8,20,0,0
Washington,4,17,6,3,0,-0.3,0.2,3.8,20,3.9,17,3.7,23,-6,3
Yale,3.9,22,-2,-2,-2,-0.1,0.1,3.8,20,3.8,20,3.8,20,0,0
Irvine,3.8,23,0,2,4,-0.1,0.2,3.6,25,3.5,27,3.7,23,4,-2
Arizona,3.7,24,-4,-4,-4,0.1,-0.1,3.8,20,3.8,20,3.8,20,0,0
Maryland,3.7,24,1,0,-4,-0.1,0,3.7,24,3.8,20,3.6,25,-5,1
Brown,3.7,24,1,1,1,-0.1,0.1,3.6,25,3.6,25,3.6,25,0,0
Albany,3.2,26,2,2,2,0.2,-0.2,3.4,28,3.4,28,3.4,28,0,0
Johns Hopkins,3.6,27,1,0,-2,-0.2,0.1,3.5,27,3.6,25,3.4,28,-3,1
Rutgers,3.5,28,-1,0,3,0,0.1,3.4,28,3.3,31,3.5,27,4,-1
CUNY,3.5,28,0,0,0,-0.1,0.1,3.4,28,3.4,28,3.4,28,0,0
Davis,3.4,30,1,1,1,-0.1,0.1,3.3,31,3.3,31,3.3,31,0,0
Amherst,3.4,30,1,1,1,-0.1,0.1,3.3,31,3.3,31,3.3,31,0,0
Vanderbilt,3.3,32,-1,-1,-1,0,0,3.3,31,3.3,31,3.3,31,0,0
Virginia,3.3,32,2,3,4,-0.1,0.1,3.2,35,3.2,36,3.2,34,2,-1
UCSB,3.3,32,2,-1,-4,-0.1,0,3.3,31,3.4,28,3.2,34,-6,3
Notre Dame,3.3,32,7,10,16,-0.2,0.3,3,42,2.9,48,3.1,39,9,-3
Emory,3.2,36,-2,-1,0,0,0,3.2,35,3.2,36,3.2,34,2,-1
Iowa,3.2,36,-2,-1,0,0,0,3.2,35,3.2,36,3.2,34,2,-1
UCSD,3.2,36,3,-1,-5,-0.1,0,3.2,35,3.3,31,3.1,39,-8,4
USC,3.1,40,-1,-1,-1,0,0,3.1,39,3.1,39,3.1,39,0,0
Stony Brook,3.1,40,5,2,1,-0.1,0.1,3,42,3,41,3,45,-4,3
UIC,3,42,-8,-3,-1,0.2,-0.1,3.1,39,3,41,3.2,34,7,-5
Boulder,3,42,-3,4,15,0.1,0.1,2.9,46,2.7,57,3.1,39,18,-7
Michigan State,3,42,5,4,6,-0.1,0.1,2.9,46,2.9,48,2.9,47,1,1
Boston College,3,42,9,4,-1,-0.2,0.1,2.9,46,3,41,2.8,51,-10,5
Washington State,3,42,9,4,-1,-0.2,0.1,2.9,46,3,41,2.8,51,-10,5
Florida State,2.9,47,-8,-8,-8,0.2,-0.2,3.1,39,3.1,39,3.1,39,0,0
Urbana,2.9,47,-8,-5,1,0.2,-0.1,3,42,2.9,48,3.1,39,9,-3
Georgia,2.9,47,0,-1,1,0,0,2.9,46,2.9,48,2.9,47,1,1
Texas A&M,2.9,47,4,-1,-6,-0.1,0,2.9,46,3,41,2.8,51,-10,5
Boston University,2.9,47,10,12,10,-0.2,0.2,2.7,59,2.7,57,2.7,57,0,-2
Northeastern,2.9,47,10,17,19,-0.2,0.3,2.6,64,2.5,66,2.7,57,9,-7
Oregon,2.9,47,10,12,10,-0.2,0.2,2.7,59,2.7,57,2.7,57,0,-2
Brandeis,2.9,47,10,5,1,-0.2,0.1,2.8,52,2.9,48,2.7,57,-9,5
NC State,2.9,47,10,5,1,-0.2,0.1,2.8,52,2.9,48,2.7,57,-9,5
Virginia Tech,2.9,47,23,22,19,-0.4,0.4,2.5,69,2.5,66,2.5,70,-4,1
Riverside,2.8,57,-12,-15,-16,0.2,-0.2,3,42,3,41,3,45,-4,3
Temple,2.8,57,-6,7,15,0,0.2,2.6,64,2.4,72,2.8,51,21,-13
Purdue--West Lafayette,2.8,57,-6,-5,-3,0,0,2.8,52,2.8,54,2.8,51,3,-1
Pittsburgh,2.8,57,-6,-5,-3,0,0,2.8,52,2.8,54,2.8,51,3,-1
BGSU,2.9,57,0,7,9,-0.2,0.3,2.6,64,2.5,66,2.7,57,9,-7
Florida,2.8,57,8,-5,-16,-0.2,0,2.8,52,3,41,2.6,65,-24,13
